Source,Target
DLX4,DPF3
DLX4,TBX3
DLX4,ZNF214
DLX4,TFAP2B
DLX4,HOXD8
DLX4,SRY
DLX4,NR1H4
DLX4,TLX1
DLX4,HMGA2
DLX4,ETV7
DLX4,WT1
DLX4,GCM2
DLX4,PAX8
DLX4,POU6F1
DLX4,SOX4
DLX4,ZNF397
DLX4,TCF24
DLX4,HES2
DLX4,HES6
DLX4,ZNF365
DLX4,PLSCR1
DLX4,POU5F2
DLX4,ZNF852
DLX4,ZNF578
DLX4,PAX8
DLX4,ZNF556
DLX4,RORA
DLX4,HMGA2
DLX4,NR5A2
DLX4,HMGA2
DLX4,TFAP2C
DLX4,ESR1
DLX4,ZFP42
DLX4,HNF1B
DLX4,NKX1-1
DLX4,RARB
DLX4,SP100
DLX4,HOXB9
DLX4,ZNF595
DLX4,ZNF585B
DLX4,SPIC
DLX4,KMT2B
DLX4,HOXC10
DLX4,TP63
DLX4,TP63
DLX4,RFX6
DLX4,FOXR1
DLX4,ZSCAN4
IKZF1,SCML4
IKZF1,USF3
IKZF1,PGR
IKZF1,NR1H4
IKZF1,TCF21
IKZF1,TBX22
IKZF1,ZNF215
IKZF1,MYCN
IKZF1,TBX1
IKZF1,PHOX2B
IKZF1,RARG
IKZF1,ZNF560
IKZF1,OTP
IKZF1,ZNF750
IKZF1,ZNF518B
IKZF1,ZBTB10
IKZF1,ZNF28
IKZF1,SP7
IKZF1,VENTX
IKZF1,ZNF181
IKZF1,NFIX
IKZF1,ZNF579
IKZF1,LHX4
IKZF1,MYB
IKZF1,ZFP57
IKZF1,POU1F1
IKZF1,ZNF800
IKZF1,TFAP2A
IKZF1,ZIM3
IKZF1,ZBED2
IKZF1,MBD2
IKZF1,RREB1
IKZF1,IKZF3
IKZF1,ZNF625
IKZF1,TBX3
IKZF1,TP63
IKZF1,RARB
IKZF1,ISX
IKZF1,NR1I3
IKZF1,ZNF280A
IKZF1,ZSCAN12
IKZF1,PAX3
IKZF1,ZKSCAN3
IKZF1,TBX18
IKZF1,ZNF672
IKZF1,ZNF492
IKZF1,TFAP2A
IKZF1,SRCAP
IKZF1,PRDM14
IKZF1,TCF21
IKZF1,ZNF429
IKZF1,ZNF391
IKZF1,ZNF316
IKZF1,TLX3
IKZF1,LHX4
IKZF1,JRK
IKZF1,NCOA3
IKZF1,PAX3
IKZF1,NEUROG1
IKZF1,PAX9
IKZF1,IRF4
IKZF1,ZSCAN30
IKZF1,PRDM13
IKZF1,ZNF543
IKZF1,NR5A2
IKZF1,SCML4
IKZF1,NR1I2
IKZF1,NR2F2
IKZF1,SNAI3
IKZF1,TCF21
IKZF1,SHOX
IKZF1,USF3
IKZF1,ZNF578
IKZF1,NR1H4
IKZF1,ZNF777
IKZF1,ZNF99
IKZF1,TBX5
IKZF1,SKIL
IKZF1,NPAS4
IKZF1,TBX1
IKZF1,SMAD4
IKZF1,ZSCAN23
IKZF1,ZNF710
IKZF1,RREB1
IKZF1,PROX2
IKZF1,ONECUT1
IKZF1,PAX9
IKZF1,ONECUT2
IKZF1,SIM1
IKZF1,SIX1
IKZF1,SOX5
IKZF1,IRF4
IKZF1,NEUROD4
IKZF1,NR1I3
IKZF1,PAX4
IKZF1,ZNF443
IKZF1,NKX2-1
IKZF1,ZSCAN10
IKZF1,KLF14
